id,name,price,quantity
1477,"Float, fuel warning switch (NRB)",65,2
1478,KIT FUEL TANK,2020,5
1479,TELL TALE LAMP CLUSTER - PETROL,480,5
1480,COWL COMP BACK AIR COOLING(R),245,0
1481,METALLIC FENDER-C WHITE,1805,5
1482,CON ROD MC NP.049   4 STROKE 3 WHEELER,460,303
1483,HOUSING COMP DIFFERENTIAL  3 WHEELER,970,1
1484,SHAFT DRIVE COMP,1995,85
1485,GEAR COMP REVERSE DRIVEN,660,57
1486,MIXING CAP ASSY ( Throttle ),245,76
1487,CAM GEAR SHIFT,660,56
1488,SHAFT FORK SHIFT LOW SPEED,95,44
1489,BACKREST ASSY  PASSENGER BLACK,2740,2
1490,CYLINDER HEAD ASSY NP.049,4335,168
1491,SUPPORT AIR CLEANER,35,67
1492,DEFELECTOR AIR CLEANER,65,55
1493,BUMPER ASSY G YELLOW,1230,5
1494,Piston Ring Set 1st O/S 4S,585,5
1495,IGNITION COIL WITH HT CORD,1715,10
1496,EYE BOLT LH,45,5
1497,SEAT ASSY PASSENGER BLACK,5390,1
1498,"BUSH, FUEL TANK",25,5
1499,MIRROR ASSY LH REAR VIEW,205,238
1500,DUMMY PLUG SMALL,25,1
1501,SPEAKER GRILL LH,75,0
1502,NEEDLE CAGE CRANKPIN 30X38X18,450,24
1503,DOG DRIVEN,390,25
1504,SHAFT HAND START,750,1
1505,GEAR HAND START,355,11
1506,CIRCLIP,15,15
1507,SHAFT GEAR SHIFT,335,15
1508,BRAKE PEDAL COMP,395,27
1509,SEAT BASE DRIVER BLACK PETROL.,2800,0
1510,BACKREST DRIVER BLACK,1705,5
1511,CHANGEOVER SWITCH PETROL / GAS,280,136
1512,PISTON RING 2ND 62.00,135,25
1513,CRANKCASE L NP.049 4S,7695,9
1514,CRANKCASE R NP.049 4S,3690,5
1515,COVER CRANKCASE R 4S,2795,4
1516,TUBE INLET,355,7
1517,"PIPE COMP, AIR COOLED",730,30
1518,GEAR PRIMARY DRIVE  4S - 24 TEETH,395,69
1519,BACK PLATE COMP L (AA),540,53
1520,Back plate comp R (AA),540,52
1521,BACK PLATE SUB ASSY R (AA),1760,1
1522,Piston Kit Std 4S,515,600
1523,Piston Ring Set 2nd  O/S 4S,585,5
1524,Piston Kit 2nd O/S 4S,530,1599
1525,ARMATURE ASSY,2600,5
1526,GRIP HANDSTART,50,1
1527,PACKING BOTTOM BATTERY,60,5
1528,GROMMET FUEL TANK,15,50
1529,WASHER SPEEDOMETER,10,5
1530,SIDE PANEL HANDLE,30,5
1531,SIDE COVER L PASSENGER SEAT,230,1
1532,FRAME COMP SEAT DRIVER,1485,5
1533,PIN  HINGE,15,5
1534,BRKT CLUTCH CABLE INNER,20,5
1535,BOOT STARTER RELAY,60,5
1536,AIR CLEANER ASSY,895,10
1537,MUFFLER COMP 4S (EXPORT),7570,3
1538,Armature Coil Assy.Ph 2.2 New,4225,5
1539,HAND LEVER COMP,2030,10
1540,"SHAFT COMP REAR, H/S",1225,5
1541,PACKING CHASSIS CABIN,215,1
1542,ENGINE COMPARTMENT LAMP,270,190
